,maxdegree_1,maxdegree_2,maxdegree_3,maxdegree_4,sector_1,sector_2,sector_3,sector_4,sector_5,regio_1,regio_2,regio_3,regio_4,n_founders,founding_age,n_investors,n_fund_rounds,avrg_inv_per_round,n_leadinvestors,leadinv_rate,years_till_firstfund,total_funding,%_first_funding_of_total,female_founders,founders_experience,has_valuation,has_moneyraised_data,alpha_bench,alpha_bench_binary,Cluster
MySize,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0.13461538461538464,0.03333333333333333,0.09090909090909091,0.09375,0.0,0.0,0.5517241379310345,0.00042855669981601674,0.8265257087585364,0,0.5555555555555556,0,0,-0.094,0,0
appScatter,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.5769230769230769,0.025,0.09090909090909091,0.0625,0.05263157894736842,0.5,0.034482758620689655,0.0010076779452398725,4.0734750344253295e-08,0,0.2222222222222222,1,1,-0.147,0,1
Groupon,0,1,0,0,0,1,0,0,0,0,1,0,0,10,0.25000000000000006,0.2,0.36363636363636365,0.25,0.15789473684210525,0.6,0.0,0.04695795946731708,0.0008795072724302384,0,1.0,1,1,-0.647,0,1
FangDD,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0.2692307692307692,0.05,0.2727272727272727,0.046875,0.15789473684210525,0.75,0.034482758620689655,0.012890469860474752,0.003203694923671074,0,0.1111111111111111,1,1,-0.047,0,1
VBL THERAPEUTICS,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0.36538461538461536,0.0,0.0,0.0,0.05263157894736842,1.0,0.5862068965517241,0.00010124192075203758,1.0000000000000002,0,0.2222222222222222,0,1,-0.281,0,0
Futu Holdings,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.2692307692307692,0.075,0.2727272727272727,0.09375,0.21052631578947367,1.0,0.06896551724137931,0.011790231529125311,0.0350262695058444,0,0.1111111111111111,0,0,-0.266,0,1
Eyenovia,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.36538461538461536,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.00016573160401526832,1.0000000000000002,0,0.0,1,1,-0.39,0,0
"Novus Therapeutics, Inc.",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.17307692307692307,0.09166666666666667,0.36363636363636365,0.0875,0.15789473684210525,0.6,0.24137931034482757,0.005151687879244875,0.2805296398137879,0,0.0,0,0,-0.255,0,1
Quanterix,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.5769230769230769,0.14166666666666666,0.4545454545454545,0.125,0.2631578947368421,0.8333333333333334,0.034482758620689655,0.004066960642913228,0.15228426533286105,0,0.1111111111111111,1,1,-0.066,0,1
Entasis Therapeutics,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.38461538461538464,0.06666666666666667,0.1818181818181818,0.125,0.10526315789473684,0.6666666666666666,0.0,0.0052935978184059165,0.3120124803591717,0,0.0,1,1,-0.285,0,1
