,maxdegree_1,maxdegree_2,maxdegree_3,maxdegree_4,sector_1,sector_2,sector_3,sector_4,sector_5,regio_1,regio_2,regio_3,regio_4,n_founders,founding_age,n_investors,n_fund_rounds,avrg_inv_per_round,n_leadinvestors,leadinv_rate,years_till_firstfund,total_funding,%_first_funding_of_total,female_founders,founders_experience,has_valuation,has_moneyraised_data,alpha_bench,alpha_bench_binary,Cluster
Zymeworks,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.3461538461538462,0.15,0.5454545454545454,0.106875,0.2631578947368421,0.7142857142857143,0.13793103448275862,0.005197548413716476,0.010327755084761825,0,0.1111111111111111,1,1,-0.426,0,1
Holaluz,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0.13461538461538464,0.025,0.2727272727272727,0.0,0.05263157894736842,0.25,0.0,0.0005433086037196571,0.03131058008784325,1,0.1111111111111111,0,0,-0.034,0,1
Mynaric,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.05769230769230771,0.0,0.0,0.0,0.05263157894736842,1.0,0.27586206896551724,0.00013192321304669453,1.0000000000000002,0,0.2222222222222222,1,1,-0.196,0,0
Canadian Solar,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.00014337389134483155,1.0000000000000002,0,0.1111111111111111,1,1,-0.378,0,0
Digital Magics,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0.3269230769230769,0.008333333333333333,0.09090909090909091,0.0,0.0,0.0,0.3103448275862069,2.0352759819280564e-05,1.91790840208126e-06,0,0.5555555555555556,0,0,-0.152,0,1
Rovio Entertainment,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0.0,0.025,0.09090909090909091,0.0625,0.05263157894736842,0.5,0.27586206896551724,0.0031421023459100323,0.5518558510609531,1,0.1111111111111111,1,0,-0.558,0,0
Ekso Bionics,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0.3269230769230769,0.025,0.1818181818181818,0.020625000000000004,0.0,0.0,0.1724137931034483,0.0005798924573836795,7.087356823024354e-08,0,0.3333333333333333,0,0,-0.308,0,1
Bellicum Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.44230769230769235,0.175,0.5454545454545454,0.13375,0.10526315789473684,0.2857142857142857,0.10344827586206896,0.006728085434816139,0.023015653367001208,0,0.3333333333333333,0,1,-0.07,0,1
Redfin,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0.03846153846153849,0.3416666666666666,0.7272727272727273,0.229375,0.42105263157894735,0.8888888888888888,0.034482758620689655,0.008656318287064788,0.0036733133772511124,0,0.1111111111111111,1,1,-0.084,0,1
GeoOp,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0.05769230769230771,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0004118298298043107,1.0000000000000002,1,0.1111111111111111,0,1,-0.458,0,0
Real Matters,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.04166666666666667,0.36363636363636365,0.012499999999999997,0.15789473684210525,0.6,0.20689655172413793,0.009585092117182701,0.021541698228031026,0,0.2222222222222222,1,1,-0.329,0,1
BuildingIQ,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.05769230769230771,0.05,0.2727272727272727,0.046875,0.0,0.0,0.06896551724137931,0.0005978020616584107,0.08274230029746125,0,0.2222222222222222,0,1,-0.426,0,1
51Talk,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0.19230769230769235,0.05,0.2727272727272727,0.046875,0.15789473684210525,0.75,0.0,0.0027711861097470454,1.4693793317585363e-08,1,0.2222222222222222,0,1,-0.228,0,1
Dicerna Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.5769230769230769,0.125,0.1818181818181818,0.270625,0.15789473684210525,1.0,0.034482758620689655,0.009310137603869563,0.03725871172031806,0,0.1111111111111111,1,1,-0.662,0,1
Baidu,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0.19230769230769235,0.125,0.09090909090909091,0.4375,0.15789473684210525,1.0,0.034482758620689655,0.001080904630272551,0.42748091591399107,0,0.1111111111111111,1,1,-0.707,0,1
Tiger Brokers,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.17307692307692307,0.08333333333333333,0.2727272727272727,0.109375,0.15789473684210525,0.75,0.034482758620689655,0.00574316156711461,0.1156492125177038,0,0.2222222222222222,1,1,-0.52,0,1
Ymagis,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.5,0.008333333333333333,0.0,0.0625,0.0,0.0,0.034482758620689655,0.00034729182447215727,1.0000000000000002,0,0.1111111111111111,0,1,-0.038,0,0
36Kr,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0.03846153846153849,0.05,0.36363636363636365,0.024999999999999994,0.05263157894736842,0.2,0.0,0.004450641091630778,9.073746698228804e-09,0,0.2222222222222222,0,0,-0.58,0,1
DelMar Pharmaceuticals,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0.5576923076923077,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.0003911793729997354,1.0000000000000002,0,0.2222222222222222,0,0,-0.519,0,0
Fusion Antibodies,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.11538461538461536,0.04166666666666667,0.09090909090909091,0.125,0.0,0.0,0.20689655172413793,0.00010207301903659452,0.99999960000016,0,0.1111111111111111,0,1,-0.054,0,0
Revance Therapeutics,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0.30769230769230765,0.225,0.4545454545454545,0.229375,0.21052631578947367,0.6666666666666666,0.034482758620689655,0.007087131292796892,0.01052288094712365,0,0.1111111111111111,1,1,-0.158,0,1
Palo Alto Networks,0,1,0,0,0,0,1,0,0,0,1,0,0,5,0.38461538461538464,0.10833333333333334,0.2727272727272727,0.15625,0.21052631578947367,1.0,0.0,0.0026833801196085097,1.5181052810300998e-08,0,0.2222222222222222,1,1,-0.046,0,1
Adaptimmune,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0.4807692307692308,0.10833333333333334,0.09090909090909091,0.375,0.05263157894736842,0.5,0.20689655172413793,0.004438668947997411,0.9999999906976746,1,0.4444444444444444,1,1,-0.29,0,0
NeoGenomics Laboratories,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.3461538461538462,0.0,0.0,0.0,0.0,0.0,0.24137931034482757,1.9471150517379634e-05,1.0000000000000002,0,0.6666666666666666,0,1,-0.908,0,0
FibroGen,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.36538461538461536,0.125,0.1818181818181818,0.270625,0.05263157894736842,0.3333333333333333,0.7241379310344828,0.0052036857294787955,0.7935059472850409,0,0.4444444444444444,0,0,-0.231,0,0
9F Group,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0.07692307692307693,0.08333333333333333,0.36363636363636365,0.07500000000000001,0.21052631578947367,0.8,0.0,0.024830409767268788,0.002122789118989854,0,0.1111111111111111,1,1,-0.158,0,1
Cookpad,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0.008333333333333333,0.0,0.0625,0.0,0.0,0.3793103448275862,1.870452295896658e-05,1.0000000000000002,0,0.1111111111111111,0,0,-0.218,0,0
Surface Oncology,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.5,0.03333333333333333,0.09090909090909091,0.09375,0.10526315789473684,1.0,0.0,0.0014443527113339903,2.8367865420158405e-08,0,0.6666666666666666,0,1,-0.413,0,1
Personalis,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.653846153846154,0.058333333333333334,0.1818181818181818,0.104375,0.10526315789473684,0.6666666666666666,0.0,0.0030963892143991024,0.2666666665173877,0,0.1111111111111111,1,1,-0.697,0,1
Cornerstone OnDemand,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0.17307692307692307,0.05,0.1818181818181818,0.083125,0.10526315789473684,0.6666666666666666,0.27586206896551724,0.0018449715733427515,0.7158836528306736,0,0.3333333333333333,1,1,-0.26,0,0
A10 Networks,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.5769230769230769,0.1,0.2727272727272727,0.140625,0.15789473684210525,0.75,0.034482758620689655,0.0048723284995925795,0.050847457433906944,0,0.3333333333333333,1,1,-0.427,0,1
Marin Software,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0.30769230769230765,0.18333333333333332,0.5454545454545454,0.143125,0.21052631578947367,0.5714285714285714,0.0,0.004139997467646046,0.019946462298365986,0,0.3333333333333333,1,1,-0.279,0,1
Silicon Laboratories,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.3269230769230769,0.075,0.09090909090909091,0.25,0.10526315789473684,1.0,0.034482758620689655,0.0005254089529651057,0.4117636031131572,0,0.1111111111111111,0,0,-0.517,0,1
Echo Global Logistics,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0.2692307692307692,0.008333333333333333,0.09090909090909091,0.0,0.05263157894736842,0.5,0.034482758620689655,0.0008454894227003924,0.15121951202234224,0,0.4444444444444444,1,1,-0.069,0,1
A8 Digital Music,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.2692307692307692,0.03333333333333333,0.09090909090909091,0.09375,0.05263157894736842,0.5,0.13793103448275862,0.0020638663741703363,0.5999999999185751,0,0.2222222222222222,0,0,-0.287,0,0
HyreCar,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.25000000000000006,0.025,0.1818181818181818,0.020625000000000004,0.05263157894736842,0.3333333333333333,0.06896551724137931,0.00020367322521419148,0.3024193546967086,0,0.1111111111111111,1,1,-0.421,0,1
Sky and Space Global,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.4807692307692308,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,2.201916908158257e-06,1.0000000000000002,0,0.1111111111111111,0,0,-0.117,0,0
SpineGuard,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0.2692307692307692,0.08333333333333333,0.2727272727272727,0.109375,0.10526315789473684,0.5,0.0,0.0007654986805413752,0.21547984571403192,0,0.2222222222222222,0,0,-0.112,0,1
Scout,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0.11538461538461536,0.06666666666666667,0.2727272727272727,0.078125,0.0,0.0,0.034482758620689655,0.00011921293948530564,0.2915949970461919,0,0.2222222222222222,1,1,-0.277,0,1
Biocartis,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0.5384615384615385,0.26666666666666666,0.4545454545454545,0.28125,0.15789473684210525,0.5,0.06896551724137931,0.01329321956051935,0.04631985257522992,0,0.3333333333333333,1,1,-0.028,0,1
Cabaletta Bio,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0.6923076923076925,0.08333333333333333,0.09090909090909091,0.28125,0.05263157894736842,0.5,0.034482758620689655,0.0036333010913180606,0.43181818170252145,1,0.1111111111111111,1,1,-0.045,0,1
Concert Pharmaceuticals,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0.4807692307692308,0.20833333333333334,0.1818181818181818,0.479375,0.10526315789473684,0.6666666666666666,0.1724137931034483,0.004108261597823293,0.5879396984085824,0,1.0,0,1,-0.362,0,1
NanoViricides,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.5,0.025,0.1818181818181818,0.020625000000000004,0.05263157894736842,0.3333333333333333,0.20689655172413793,0.0007628875954820911,0.13513513495908125,0,0.2222222222222222,0,0,-0.551,0,1
Ctrip,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0.23076923076923078,0.03333333333333333,0.1818181818181818,0.041874999999999996,0.05263157894736842,0.3333333333333333,0.5172413793103449,1.947123311920685e-05,0.9999960000159993,0,0.1111111111111111,0,0,-0.26,0,0
Abattis Bioceuticals,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.03846153846153849,0.0,0.0,0.0,0.0,0.0,0.4482758620689655,1.1098009796828477e-05,1.0000000000000002,0,0.0,0,0,-0.057,0,0
Aposense,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0.4038461538461539,0.09166666666666667,0.1818181818181818,0.1875,0.05263157894736842,0.3333333333333333,0.48275862068965514,0.0009198310671968636,0.5381165918342291,1,0.1111111111111111,0,0,-0.366,0,0
Aerpio Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.30769230769230765,0.16666666666666666,0.36363636363636365,0.2,0.21052631578947367,0.8,0.034482758620689655,0.0044401777116724675,0.29757329336809574,0,0.3333333333333333,0,0,-0.29,0,1
GameAccount Network,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.7307692307692308,0.008333333333333333,0.0,0.0625,0.0,0.0,0.3793103448275862,0.001475304648515528,1.0000000000000002,0,0.1111111111111111,0,0,-0.285,0,0
Avicanna,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.23076923076923078,0.008333333333333333,0.09090909090909091,0.0,0.0,0.0,0.034482758620689655,4.7950112894742234e-05,0.9999991593445576,0,0.2222222222222222,0,0,-0.695,0,0
GENFIT,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0.30769230769230765,0.008333333333333333,0.09090909090909091,0.0,0.10526315789473684,1.0,0.0,0.0004590796444078962,8.953051790946576e-08,1,0.3333333333333333,1,1,-0.328,0,1
Proofpoint,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.4230769230769231,0.2583333333333333,0.36363636363636365,0.3375,0.2631578947368421,1.0,0.034482758620689655,0.003530048807295184,0.18128654954094314,0,0.4444444444444444,1,1,-0.142,0,1
Metaps Japan,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0.0,0.09166666666666667,0.36363636363636365,0.0875,0.10526315789473684,0.4,0.13793103448275862,0.002202092973952973,0.09460388218041087,0,0.2222222222222222,0,0,-0.183,0,1
RepliCel Life Sciences,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0.2115384615384615,0.008333333333333333,0.09090909090909091,0.0,0.0,0.0,0.06896551724137931,3.75216322084317e-05,0.9252973166644086,0,0.0,0,0,-0.082,0,0
Annovis Bio,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.25000000000000006,0.075,0.36363636363636365,0.0625,0.15789473684210525,0.6,0.06896551724137931,0.0003422833865815164,0.1029452010799077,1,0.3333333333333333,0,1,-0.321,0,1
Razer,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0.13461538461538464,0.03333333333333333,0.2727272727272727,0.015625,0.21052631578947367,1.0,0.20689655172413793,0.00722648061661508,0.28571428393623105,0,0.4444444444444444,1,1,-0.501,0,1
SnapChat,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0.019230769230769218,0.3583333333333333,0.4545454545454545,0.395625,0.3684210526315789,1.0,0.0,0.10940432145455145,1.7394074025848842e-10,0,0.1111111111111111,1,1,-0.484,0,1
OpenDNA,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0.1538461538461539,0.01666666666666667,0.09090909090909091,0.03125,0.0,0.0,0.034482758620689655,9.593256440484044e-05,0.5146034681584508,0,0.1111111111111111,1,1,-0.149,0,0
Biocept,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.03333333333333333,0.2727272727272727,0.015625,0.0,0.0,0.3103448275862069,0.0007876681023466679,0.104712047184876,0,0.1111111111111111,1,1,-0.553,0,1
Quick Heal Technologies,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.11538461538461536,0.0,0.0,0.0,0.05263157894736842,1.0,0.5172413793103449,0.0005357325706317626,1.0000000000000002,0,0.1111111111111111,1,1,-0.193,0,0
Pixium Vision,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.6346153846153848,0.04166666666666667,0.09090909090909091,0.125,0.05263157894736842,0.5,0.034482758620689655,0.0008363772021308055,4.9107634220255845e-08,0,0.1111111111111111,1,1,-0.198,0,1
CrowdStrike,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0.2884615384615385,0.16666666666666666,0.36363636363636365,0.2,0.2631578947368421,1.0,0.034482758620689655,0.019864560139714264,0.054054053861495095,0,0.2222222222222222,1,1,-0.314,0,1
MoSo,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.13461538461538464,0.01666666666666667,0.1818181818181818,0.0,0.15789473684210525,1.0,0.06896551724137931,0.000605477877753585,0.22305830631951926,0,0.0,0,0,-0.191,0,1
Bluebird Bio,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0,0.19166666666666668,0.2727272727272727,0.3125,0.21052631578947367,1.0,0.3793103448275862,0.006565665957567756,0.12893081743274604,0,0.2222222222222222,1,1,-0.294,0,1
Jounce Therapeutics,1,0,0,0,1,0,0,0,0,0,1,0,0,6,0.3461538461538462,0.075,0.09090909090909091,0.25,0.05263157894736842,0.5,0.0,0.00425281479545532,0.4563106795009759,1,0.2222222222222222,1,1,-0.304,0,1
Infinity Pharmaceuticals,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0.5192307692307692,0.01666666666666667,0.1818181818181818,0.0,0.15789473684210525,1.0,0.034482758620689655,0.004128912095928782,9.796437561275893e-09,1,0.1111111111111111,0,0,-0.219,0,1
Ehang,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0.3269230769230769,0.08333333333333333,0.09090909090909091,0.28125,0.10526315789473684,1.0,0.0,0.0021464682013886374,0.19230769214327662,0,0.2222222222222222,1,1,-0.023,0,1
Advaxis,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.13461538461538464,0.04166666666666667,0.36363636363636365,0.012499999999999997,0.0,0.0,0.034482758620689655,0.0009915882657233286,4.13982332677698e-08,0,0.0,0,0,-0.081,0,1
Martello Technologies,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.05769230769230771,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.00030857754578143414,1.0000000000000002,0,0.2222222222222222,0,0,-0.249,0,0
REVA Medical,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.4807692307692308,0.05,0.09090909090909091,0.15625,0.10526315789473684,1.0,0.20689655172413793,0.0017334591065980448,2.3605960906717394e-08,0,0.2222222222222222,0,0,-0.239,0,1
Sunrun,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0.17307692307692307,0.18333333333333332,0.5454545454545454,0.143125,0.47368421052631576,1.0,0.034482758620689655,0.032486119421272525,0.14874141821282968,1,0.2222222222222222,1,1,-0.121,0,1
The NAGA Group,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0.2884615384615385,0.01666666666666667,0.1818181818181818,0.0,0.0,0.0,0.0,0.0005898768706468644,0.0664726381795108,0,0.3333333333333333,1,1,-0.215,0,1
RESAAS,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0.13461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,2.578919907765306e-05,1.0000000000000002,0,0.0,0,0,-0.101,0,0
TCR2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.7115384615384617,0.14166666666666666,0.09090909090909091,0.5,0.10526315789473684,1.0,0.034482758620689655,0.00715626902217861,0.27870744359235267,0,0.5555555555555556,1,1,-0.014,0,1
The RealReal,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.653846153846154,0.5083333333333333,0.6363636363636364,0.421875,0.3684210526315789,0.875,0.034482758620689655,0.014783488851664708,0.024024072296285316,1,0.1111111111111111,1,1,-0.422,0,1
Molecular Templates,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.1538461538461539,0.06666666666666667,0.36363636363636365,0.05,0.2631578947368421,1.0,0.3103448275862069,0.0015686527669503622,0.06577282085426683,0,0.2222222222222222,0,0,-0.198,0,1
Microsaic Systems plc,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.2692307692307692,0.008333333333333333,0.09090909090909091,0.0,0.0,0.0,0.034482758620689655,0.00026606374824232355,1.5434082306999723e-07,0,0.1111111111111111,0,0,-0.111,0,1
PLx Pharma,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0.5576923076923077,0.06666666666666667,0.36363636363636365,0.05,0.05263157894736842,0.2,0.24137931034482757,0.0010962372640426394,0.11692946062602405,0,0.3333333333333333,0,0,-0.123,0,1
Teladoc,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.4615384615384616,0.15,0.36363636363636365,0.175,0.21052631578947367,0.8,0.20689655172413793,0.0038336140742010116,1.0566486921268549e-08,1,0.1111111111111111,1,1,-0.332,0,1
Minesto,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.13461538461538464,0.04166666666666667,0.2727272727272727,0.03125,0.2631578947368421,1.0,0.27586206896551724,0.0011392562956579306,0.2035496380822809,0,0.1111111111111111,0,0,-0.229,0,1
Forgame,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.1538461538461539,0.01666666666666667,0.09090909090909091,0.03125,0.05263157894736842,0.5,0.10344827586206896,0.0030051141953228795,0.9450473966092288,0,0.1111111111111111,0,0,-0.375,0,0
Viva Biotech,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0.44230769230769235,0.04166666666666667,0.09090909090909091,0.125,0.05263157894736842,0.5,0.3448275862068966,0.0006834694904902649,0.45026007575426225,0,0.1111111111111111,0,0,-0.125,0,1
Bigtincan,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0.09615384615384615,0.008333333333333333,0.09090909090909091,0.0,0.10526315789473684,1.0,0.10344827586206896,0.00039650368027765906,0.5192693049069109,0,0.1111111111111111,1,1,-0.329,0,1
Creo Medical,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0.1538461538461539,0.04166666666666667,0.1818181818181818,0.0625,0.15789473684210525,1.0,0.3103448275862069,0.0006656106037374456,0.13609079928702245,0,0.2222222222222222,0,0,-0.068,0,1
Bitauto Holdings,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.09615384615384615,0.1,0.1818181818181818,0.208125,0.21052631578947367,1.0,0.20689655172413793,0.001787150252989027,0.26096997675487316,0,0.7777777777777777,1,1,-0.322,0,1
ENERTIME,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0.36538461538461536,0.04166666666666667,0.1818181818181818,0.0625,0.0,0.0,0.10344827586206896,0.0002603263492264812,0.3270495706270836,0,0.1111111111111111,0,0,-0.168,0,1
Milestone Scientific,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.000172284530871237,1.0000000000000002,0,0.0,0,0,-0.108,0,0
Criteo,1,0,0,0,0,0,1,0,0,1,0,0,0,4,0.19230769230769235,0.09166666666666667,0.5454545454545454,0.044375,0.21052631578947367,0.5714285714285714,0.0,0.002519535265229648,1.6181043074007666e-08,0,0.3333333333333333,1,1,-0.108,0,1
Goodfood,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0.09615384615384615,0.008333333333333333,0.0,0.0625,0.05263157894736842,1.0,0.06896551724137931,4.425169868287002e-05,1.0000000000000002,0,0.3333333333333333,0,0,-0.223,0,0
iPass,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.175,0.1818181818181818,0.395625,0.0,0.0,0.0,0.0021051674116822276,1.9404279647084122e-08,1,0.2222222222222222,1,1,-0.281,0,1
Ironwood Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0.4230769230769231,0.06666666666666667,0.5454545454545454,0.018125000000000002,0.2631578947368421,0.7142857142857143,0.034482758620689655,0.011728280158711586,0.03521126740923916,1,0.1111111111111111,1,1,-0.162,0,1
CorMedix,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.00010702797224411154,1.0000000000000002,0,0.2222222222222222,0,1,-0.56,0,0
Dropbox,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0.03846153846153849,0.35,0.4545454545454545,0.385625,0.2631578947368421,0.8333333333333334,0.0,0.07050836000356074,0.0007116857872612852,0,0.1111111111111111,1,1,-0.178,0,1
JD.com,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.09615384615384615,0.11666666666666667,0.4545454545454545,0.09375,0.3684210526315789,1.0,0.3103448275862069,0.11679780442169173,0.003536067688410629,0,0.4444444444444444,0,0,-0.145,0,1
OSE Immunotherapeutics,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.8076923076923077,0.0,0.0,0.0,0.05263157894736842,1.0,0.1724137931034483,0.00043687511682603575,1.0000000000000002,1,0.4444444444444444,0,0,-0.177,0,0
Chegg,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0.03846153846153849,0.23333333333333334,0.4545454545454545,0.239375,0.2631578947368421,0.8333333333333334,0.06896551724137931,0.01041919372157547,0.008719650207768886,0,0.1111111111111111,1,1,-0.443,0,1
Seven Generations Energy,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.17307692307692307,0.025,0.0,0.1875,0.05263157894736842,1.0,0.1724137931034483,0.010365350009609614,1.0000000000000002,0,0.0,0,1,-0.125,0,0
Line Corporation,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.05497265583639329,1.0000000000000002,0,0.0,0,0,-0.007,0,0
Neofect,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0.2692307692307692,0.025,0.09090909090909091,0.0625,0.0,0.0,0.06896551724137931,0.0,3.502115947623746e-05,0,0.1111111111111111,0,0,-0.103,0,1
Stoke Therapeutics,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0.5576923076923077,0.06666666666666667,0.0,0.5,0.10526315789473684,1.0,0.13793103448275862,0.005367939462902388,1.0000000000000002,1,0.1111111111111111,1,1,-0.061,0,0
Artificial Solutions International AB,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0.0,0.01666666666666667,0.1818181818181818,0.0,0.10526315789473684,0.6666666666666666,0.24137931034482757,0.0014254465573147839,0.27045832427664945,0,0.0,0,0,-0.346,0,1
ObsEva,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0.75,0.075,0.09090909090909091,0.25,0.15789473684210525,1.0,0.034482758620689655,0.0038551332544224416,0.369013170110918,0,0.1111111111111111,1,0,-0.345,0,1
Ooma,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0.2115384615384615,0.20833333333333334,0.6363636363636364,0.140625,0.10526315789473684,0.25,0.034482758620689655,0.004064186047536966,0.08127370589265846,0,0.3333333333333333,0,0,-0.216,0,1
Versartis,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.25000000000000006,0.175,0.2727272727272727,0.28125,0.21052631578947367,1.0,0.034482758620689655,0.005966802668934158,0.07612456781279582,0,0.0,1,1,-0.399,0,1
Medicrea,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.008333333333333333,0.09090909090909091,0.0,0.05263157894736842,0.5,0.8620689655172413,0.001061682152556012,0.13600380015888658,0,0.0,0,0,-0.165,0,1
MoneyMe,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0.13461538461538464,0.01666666666666667,0.09090909090909091,0.03125,0.05263157894736842,0.5,0.10344827586206896,0.005008108928863973,0.24734599993918,0,0.2222222222222222,1,1,-0.147,0,1
EverQuote,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0.3461538461538462,0.14166666666666666,0.2727272727272727,0.21875,0.15789473684210525,0.75,0.034482758620689655,0.001550441376899889,2.641435662943883e-08,0,0.3333333333333333,1,1,-0.727,0,1
Leaf Group,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0.30769230769230765,0.075,0.09090909090909091,0.25,0.05263157894736842,0.5,0.06896551724137931,0.00557444403094814,0.7407407406879654,0,0.1111111111111111,0,0,-0.482,0,0
Facebook,1,0,0,0,0,0,1,0,0,0,1,0,0,5,0.0,0.24166666666666667,0.7272727272727273,0.145625,0.5789473684210527,1.0,0.0,0.0964653647345087,0.0002140683837817426,0,0.2222222222222222,1,1,-0.413,0,1
